roc_auc,balanced_accuracy,accuracy,brier,sensitivity,specificity,modality,task,outer_fold,n_test,best_params
0.8769230769230769,0.7,0.8333333333333334,0.16768910739596993,1.0,0.4,bcr,uc_vs_control,15,18,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.7103174603174603,0.6666666666666667,0.6875,0.23255408448177506,0.8333333333333334,0.5,bcr,cd_vs_uc,1,32,"{""clf__C"": 1, ""select__percentile"": 25}"
0.8373015873015873,0.6944444444444444,0.71875,0.20774561873235378,0.8888888888888888,0.5,bcr,cd_vs_uc,2,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.785425101214575,0.6376518218623481,0.65625,0.21058134521747138,0.7368421052631579,0.5384615384615384,bcr,cd_vs_uc,3,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.7435897435897436,0.6282051282051282,0.5806451612903226,0.4212847044848456,0.3333333333333333,0.9230769230769231,bcr,cd_vs_uc,4,31,"{""clf__C"": 10, ""select__percentile"": 100}"
0.7222222222222222,0.7243589743589745,0.7419354838709677,0.2312910820529825,0.8333333333333334,0.6153846153846154,bcr,cd_vs_uc,5,31,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.761904761904762,0.6150793650793651,0.65625,0.28702245333066845,0.9444444444444444,0.2857142857142857,bcr,cd_vs_uc,6,32,"{""clf__C"": 10, ""select__percentile"": 25}"
0.6626984126984127,0.5674603174603174,0.59375,0.29293033716828615,0.7777777777777778,0.35714285714285715,bcr,cd_vs_uc,7,32,"{""clf__C"": 1, ""select__percentile"": 25}"
0.8218623481781376,0.7024291497975709,0.71875,0.1857131681375159,0.7894736842105263,0.6153846153846154,bcr,cd_vs_uc,8,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.7393162393162394,0.7243589743589745,0.7419354838709677,0.21250067026747027,0.8333333333333334,0.6153846153846154,bcr,cd_vs_uc,9,31,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.655982905982906,0.5341880341880342,0.4838709677419355,0.4853558326377997,0.2222222222222222,0.8461538461538461,bcr,cd_vs_uc,10,31,"{""clf__C"": 1, ""select__percentile"": 100}"
0.5555555555555556,0.5238095238095238,0.5625,0.326528294067487,0.8333333333333334,0.21428571428571427,bcr,cd_vs_uc,11,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.5396825396825397,0.5119047619047619,0.46875,0.5205167955972209,0.16666666666666666,0.8571428571428571,bcr,cd_vs_uc,12,32,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.680161943319838,0.5991902834008097,0.625,0.26197437584146754,0.7368421052631579,0.46153846153846156,bcr,cd_vs_uc,13,32,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9145299145299145,0.8846153846153846,0.9032258064516129,0.11821206475610142,1.0,0.7692307692307693,bcr,cd_vs_uc,14,31,"{""clf__C"": 10, ""select__percentile"": 25}"
0.7948717948717948,0.7136752136752136,0.7419354838709677,0.21795772188789986,0.8888888888888888,0.5384615384615384,bcr,cd_vs_uc,15,31,"{""clf__C"": 1, ""select__percentile"": 25}"
